,length (m),temperature (°C),Stokes,anti-Stokes
326,-416.44199999999995,37.256,-0.261,-0.233
327,-415.42800000000005,355.42900000000003,0.177,0.355
328,-414.413,800.0,0.040999999999999995,0.134
329,-413.398,193.06,-0.382,0.5820000000000001
330,-412.384,-114.227,0.314,0.061
331,-411.369,-176.118,-0.5710000000000001,-0.015
332,-410.355,-37.728,0.706,0.379
333,-409.34,76.84100000000001,0.24100000000000002,-0.258
334,-408.325,66.03699999999999,1.155,1.18
335,-407.311,-200.0,-0.038,-0.196
336,-406.296,-27.795,-0.591,-0.345
337,-405.282,-200.0,-0.05,0.61
338,-404.267,-118.06700000000001,0.19699999999999998,-0.035
339,-403.25199999999995,800.0,0.168,0.513
340,-402.23800000000006,-162.5,-0.9540000000000001,-0.048
341,-401.223,-200.0,-0.047,-0.513
342,-400.209,443.781,0.10300000000000001,-0.22699999999999998
343,-399.194,789.054,-0.19699999999999998,0.5429999999999999
344,-398.17900000000003,-67.018,0.31,-0.12300000000000001
345,-397.165,-161.748,-0.38,-0.02
346,-396.15,274.302,0.34600000000000003,0.616
347,-395.13599999999997,-200.0,0.07200000000000001,-0.659
348,-394.121,-200.0,0.059000000000000004,-0.545
349,-393.106,-12.097999999999999,0.718,-0.473
350,-392.092,-131.546,0.583,-0.077
351,-391.077,141.556,-0.32899999999999996,0.43799999999999994
352,-390.06300000000005,-20.442,0.33899999999999997,0.21
353,-389.048,800.0,0.121,0.45299999999999996
354,-388.033,-192.903,0.535,-0.005
355,-387.019,-50.658,0.496,-0.235
356,-386.004,-122.695,0.444,-0.07200000000000001
357,-384.99,147.594,0.335,0.45399999999999996
358,-383.975,-200.0,0.14300000000000002,-0.831
359,-382.96,-200.0,0.09,-0.75
360,-381.94599999999997,-200.0,-0.018000000000000002,0.585
361,-380.931,800.0,0.11,0.35700000000000004
362,-379.917,-95.96700000000001,0.754,0.20199999999999999
363,-378.902,-56.793,-0.364,0.162
364,-377.88800000000003,-111.46700000000001,0.319,-0.065
365,-376.87300000000005,-184.393,-0.752,-0.012
366,-375.858,-200.0,-0.055999999999999994,-0.45399999999999996
367,-374.844,144.75799999999998,-0.546,0.7340000000000001
368,-373.829,145.975,0.41,0.5529999999999999
369,-372.815,-166.697,-0.136,-0.006
370,-371.8,47.08,0.361,-0.33799999999999997
371,-370.785,-140.936,0.39,-0.04
372,-369.77099999999996,0.09300000000000001,-0.397,-0.284
373,-368.756,-42.425,-0.136,0.07
374,-367.74199999999996,53.673,0.289,0.27899999999999997
375,-366.727,201.669,0.318,-0.493
376,-365.712,-90.83,-0.601,-0.174
377,-364.69800000000004,-96.015,0.97,-0.26
378,-363.68300000000005,800.0,-0.253,0.815
379,-362.66900000000004,800.0,-0.071,-0.242
380,-361.654,60.656000000000006,-0.228,-0.22699999999999998
381,-360.639,349.914,0.272,-0.541
382,-359.625,-200.0,-0.034,-0.5670000000000001
383,-358.61,14.030999999999999,-0.21100000000000002,-0.166
384,-357.596,42.555,0.365,-0.33399999999999996
385,-356.58099999999996,-200.0,-0.025,0.133
386,-355.566,169.278,0.555,-0.7959999999999999
387,-354.55199999999996,126.163,0.255,-0.324
388,-353.537,-200.0,0.023,0.34
389,-352.523,56.977,-0.54,0.529
390,-351.50800000000004,-70.37100000000001,0.156,0.059000000000000004
391,-350.49300000000005,139.058,-0.33299999999999996,-0.44
392,-349.47900000000004,-22.581,-0.5770000000000001,-0.35100000000000003
393,-348.464,302.569,0.391,-0.726
394,-347.45,-72.043,0.431,0.161
395,-346.435,-200.0,0.092,-0.502
396,-345.42,-15.751,0.314,-0.201
397,-344.406,-154.656,0.019,0.001
398,-343.39099999999996,100.272,-0.21,-0.245
399,-342.37699999999995,-200.0,0.124,-0.705
400,-341.36199999999997,-118.56299999999999,-0.75,0.133
401,-340.348,12.642999999999999,-0.523,-0.406
402,-339.333,402.809,-0.395,0.8340000000000001
403,-338.31800000000004,303.02099999999996,0.245,-0.456
404,-337.30400000000003,-200.0,-0.027999999999999997,-0.13699999999999998
405,-336.289,32.215,-0.22699999999999998,-0.19699999999999998
406,-335.275,-47.467,0.66,-0.322
407,-334.26,273.764,-0.263,-0.467
408,-333.245,174.804,-0.33799999999999997,-0.491
409,-332.231,800.0,-0.134,-0.581
410,-331.216,320.59,-0.22899999999999998,-0.43799999999999994
411,-330.202,65.812,0.424,0.43200000000000005
412,-329.18699999999995,53.478,-0.40399999999999997,-0.389
413,-328.17199999999997,-52.606,-0.325,0.151
414,-327.158,-71.42399999999999,0.19,-0.071
415,-326.143,-152.27700000000002,-0.281,-0.02
416,-325.129,209.73,-0.195,-0.307
417,-324.11400000000003,-27.379,-0.8320000000000001,0.486
418,-323.099,-200.0,0.10400000000000001,0.595
419,-322.085,494.56300000000005,-0.188,-0.434
420,-321.07,152.60299999999998,-0.304,-0.41700000000000004
421,-320.056,10.732000000000001,0.326,-0.25
422,-319.041,-62.86600000000001,0.865,-0.359
423,-318.026,0.8909999999999999,-0.603,-0.434
424,-317.012,598.6659999999999,-0.172,0.429
425,-315.997,176.868,0.212,-0.31
426,-314.983,-136.38299999999998,-0.18899999999999997,0.022000000000000002
427,-313.968,-72.777,-0.7140000000000001,-0.264
428,-312.953,-200.0,-0.003,-0.5920000000000001
429,-311.939,-112.89,-0.41,0.08199999999999999
430,-310.92400000000004,-145.482,0.624,-0.055999999999999994
431,-309.91,153.207,0.247,0.33899999999999997
432,-308.895,8.306000000000001,-0.545,-0.41100000000000003
433,-307.88,52.841,0.282,-0.27
434,-306.866,275.085,-0.12300000000000001,-0.218
435,-305.851,120.454,-0.198,0.247
436,-304.837,800.0,0.114,0.36200000000000004
437,-303.822,134.31,-0.209,0.272
438,-302.807,-190.015,0.828,0.009000000000000001
439,-301.793,-1.804,-0.09,-0.063
440,-300.778,342.586,-0.071,-0.14
441,-299.764,174.91400000000002,-0.48100000000000004,-0.6990000000000001
442,-298.749,264.497,-0.11199999999999999,-0.196
443,-297.735,243.77200000000002,-0.243,0.408
444,-296.72,-46.871,0.39799999999999996,-0.195
445,-295.705,167.938,-0.345,0.49200000000000005
446,-294.691,-13.083,-0.20600000000000002,-0.134
447,-293.676,156.41299999999998,-0.126,-0.175
448,-292.66200000000003,-200.0,-0.021,0.39399999999999996
449,-291.647,456.34,-0.446,-0.993
450,-290.632,-15.642999999999999,0.278,-0.17800000000000002
451,-289.618,-89.068,-0.5710000000000001,-0.16899999999999998
452,-288.603,161.399,-0.191,-0.268
453,-287.589,-136.796,0.637,-0.07400000000000001
454,-286.574,-110.726,-0.39899999999999997,-0.083
455,-285.559,-29.851999999999997,-0.5820000000000001,0.33299999999999996
456,-284.545,-200.0,-0.267,0.001
457,-283.53,-103.815,0.7559999999999999,0.177
458,-282.51599999999996,800.0,0.098,-0.35600000000000004
459,-281.501,-116.792,-0.28800000000000003,0.053
460,-280.486,-103.296,0.759,-0.179
461,-279.472,232.13099999999997,-0.541,-0.889
462,-278.457,488.034,-0.182,0.41600000000000004
463,-277.443,199.854,-0.794,1.2209999999999999
464,-276.428,-121.025,1.1320000000000001,-0.19
465,-275.413,496.786,0.092,0.212
466,-274.399,-6.403,0.594,-0.406
467,-273.384,-200.0,0.131,-0.598
468,-272.37,-91.839,0.44,-0.125
469,-271.355,-20.215,0.433,-0.267
470,-270.34,-200.0,-0.0,0.10099999999999999
471,-269.32599999999996,111.34299999999999,0.607,0.733
472,-268.311,-100.561,0.201,0.05
473,-267.297,-118.86399999999999,-0.598,-0.105
474,-266.282,-69.021,-0.19699999999999998,-0.076
475,-265.267,50.437,-0.83,0.7859999999999999
476,-264.253,462.836,0.11800000000000001,0.265
477,-263.238,-126.585,0.7120000000000001,-0.106
478,-262.224,-109.848,-0.442,-0.09300000000000001
479,-261.209,-200.0,-0.09300000000000001,0.636
480,-260.195,558.882,-0.141,0.342
481,-259.18,-200.0,0.023,0.935
482,-258.165,560.8,-0.18,-0.436
483,-257.151,112.54799999999999,-0.22699999999999998,-0.275
484,-256.13599999999997,180.797,-0.271,0.39899999999999997
485,-255.122,-55.391999999999996,-0.547,-0.24600000000000002
486,-254.107,-97.49600000000001,-0.5539999999999999,0.14400000000000002
487,-253.092,-166.139,-0.83,-0.035
488,-252.078,453.389,-0.125,0.278
489,-251.063,-83.274,0.479,0.154
490,-250.049,-15.019,-0.138,-0.08900000000000001
491,-249.03400000000002,43.971000000000004,-0.348,-0.319
